172.22.0.1 - - [30/Oct/2025:22:48:38 +0000] "GET /invalid-route HTTP/1.1" 404 152 pool=- release=- upstream_status=404 upstream_addr=172.22.0.3:3000 request_time=0.002 upstream_response_time=0.002
172.22.0.1 - - [30/Oct/2025:22:48:38 +0000] "GET /invalid-route HTTP/1.1" 404 152 pool=- release=- upstream_status=404 upstream_addr=172.22.0.3:3000 request_time=0.001 upstream_response_time=0.001
172.22.0.1 - - [30/Oct/2025:22:48:38 +0000] "GET /invalid-route HTTP/1.1" 404 152 pool=- release=- upstream_status=404 upstream_addr=172.22.0.3:3000 request_time=0.001 upstream_response_time=0.001
172.22.0.1 - - [30/Oct/2025:22:48:38 +0000] "GET /invalid-route HTTP/1.1" 404 152 pool=- release=- upstream_status=404 upstream_addr=172.22.0.3:3000 request_time=0.002 upstream_response_time=0.003
172.22.0.1 - - [30/Oct/2025:22:51:26 +0000] "GET /invalid-route HTTP/1.1" 404 152 pool=- release=- upstream_status=404 upstream_addr=172.22.0.3:3000 request_time=0.242 upstream_response_time=0.242
172.22.0.1 - - [30/Oct/2025:22:51:26 +0000] "GET /invalid-route HTTP/1.1" 404 152 pool=- release=- upstream_status=404 upstream_addr=172.22.0.3:3000 request_time=0.007 upstream_response_time=0.008
172.22.0.1 - - [30/Oct/2025:22:51:26 +0000] "GET /invalid-route HTTP/1.1" 404 152 pool=- release=- upstream_status=404 upstream_addr=172.22.0.3:3000 request_time=0.049 upstream_response_time=0.048
172.22.0.1 - - [30/Oct/2025:22:51:26 +0000] "GET /invalid-route HTTP/1.1" 404 152 pool=- release=- upstream_status=404 upstream_addr=172.22.0.3:3000 request_time=0.005 upstream_response_time=0.005
172.22.0.1 - - [30/Oct/2025:22:51:26 +0000] "GET /invalid-route HTTP/1.1" 404 152 pool=- release=- upstream_status=404 upstream_addr=172.22.0.3:3000 request_time=0.002 upstream_response_time=0.002
172.22.0.1 - - [30/Oct/2025:22:51:26 +0000] "GET /invalid-route HTTP/1.1" 404 152 pool=- release=- upstream_status=404 upstream_addr=172.22.0.3:3000 request_time=0.004 upstream_response_time=0.003
172.22.0.1 - - [30/Oct/2025:22:51:26 +0000] "GET /invalid-route HTTP/1.1" 404 152 pool=- release=- upstream_status=404 upstream_addr=172.22.0.3:3000 request_time=0.003 upstream_response_time=0.004
172.22.0.1 - - [30/Oct/2025:22:51:26 +0000] "GET /invalid-route HTTP/1.1" 404 152 pool=- release=- upstream_status=404 upstream_addr=172.22.0.3:3000 request_time=0.004 upstream_response_time=0.004
172.22.0.1 - - [30/Oct/2025:22:51:26 +0000] "GET /invalid-route HTTP/1.1" 404 152 pool=- release=- upstream_status=404 upstream_addr=172.22.0.3:3000 request_time=0.001 upstream_response_time=0.002
172.22.0.1 - - [30/Oct/2025:22:51:27 +0000] "GET /invalid-route HTTP/1.1" 404 152 pool=- release=- upstream_status=404 upstream_addr=172.22.0.3:3000 request_time=0.002 upstream_response_time=0.002
172.22.0.1 - - [30/Oct/2025:22:51:27 +0000] "GET /invalid-route HTTP/1.1" 404 152 pool=- release=- upstream_status=404 upstream_addr=172.22.0.3:3000 request_time=0.007 upstream_response_time=0.008
172.22.0.1 - - [30/Oct/2025:22:51:27 +0000] "GET /invalid-route HTTP/1.1" 404 152 pool=- release=- upstream_status=404 upstream_addr=172.22.0.3:3000 request_time=0.001 upstream_response_time=0.002
